0.0444444	0.0137931	0	0	0	0	0	0	0.0285714	0.00677966	0	0	0	0.0285714	0	0	0	0.0347826	0	0	
0.0137931	0.0444444	0	0	0	0	0	0	0.0242424	0	0	0.0444444	0	0	0	0	0	0	0	0	
0	0	0.0444444	0	0	0	0	0	0.0285714	0	0	0	0	0	0.0210526	0	0	0.0347826	0	0	
0	0	0	0.0444444	0	0	0.0186047	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0.0444444	0.00963855	0	0	0	0	0	0	0	0	0.0150943	0	0	0	0	0	
0	0	0	0	0.00963855	0.0444444	0	0	0.0347826	0	0	0	0	0	0	0.0285714	0	0	0	0.0444444	
0	0	0	0.0186047	0	0	0.0444444	0.00677966	0	0	0.00740741	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0.00677966	0.0444444	0	0.00860215	0	0	0	0	0	0	0	0.0186047	0	0	
0.0285714	0.0242424	0.0285714	0	0	0.0347826	0	0	0.0444444	0	0	0	0	0	0.0347826	0	0.0444444	0	0.0347826	0	
0.00677966	0	0	0	0	0	0	0.00860215	0	0.0444444	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0.00740741	0	0	0	0.0444444	0	0.00707965	0	0	0	0	0	0.0285714	0	
0	0.0444444	0	0	0	0	0	0	0	0	0	0.0444444	0	0	0.0210526	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0.00707965	0	0.0444444	0.0347826	0.0102564	0	0.0166667	0	0	0.0242424	
0.0285714	0	0	0	0	0	0	0	0	0	0	0	0.0347826	0.0444444	0.0347826	0	0	0	0.0444444	0	
0	0	0.0210526	0	0.0150943	0	0	0	0.0347826	0	0	0.0210526	0.0102564	0.0347826	0.0444444	0	0	0	0	0	
0	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0	0	0.0444444	0.0102564	0	0.0285714	0.0444444	
0	0	0	0	0	0	0	0	0.0444444	0	0	0	0.0166667	0	0	0.0102564	0.0444444	0	0	0	
0.0347826	0	0.0347826	0	0	0	0	0.0186047	0	0	0	0	0	0	0	0	0	0.0444444	0.0444444	0	
0	0	0	0	0	0	0	0	0.0347826	0	0.0285714	0	0	0.0444444	0	0.0285714	0	0.0444444	0.0444444	0	
0	0	0	0	0	0.0444444	0	0	0	0	0	0	0.0242424	0	0	0.0444444	0	0	0	0.0347826	
