0.124692	0.12452	0	0	0	0	0	0	0.124681	0.124494	0	0	0	0.124721	0	0	0	0.124648	0	0	
0.12452	0.124692	0	0	0	0	0	0	0.124563	0	0	0.124692	0	0	0	0	0	0	0	0	
0	0	0.124692	0	0	0	0	0	0.124593	0	0	0	0	0	0.12463	0	0	0.124592	0	0	
0	0	0	0.124692	0	0	0.124619	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0.124692	0.124498	0	0	0	0	0	0	0	0	0.124592	0	0	0	0	0	
0	0	0	0	0.124498	0.124692	0	0	0.124626	0	0	0	0	0	0	0.12455	0	0	0	0.124692	
0	0	0	0.124619	0	0	0.124692	0.124504	0	0	0.124502	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0.124504	0.124692	0	0.124517	0	0	0	0	0	0	0	0.124592	0	0	
0.124681	0.124563	0.124593	0	0	0.124626	0	0	0.124692	0	0	0	0	0	0.124584	0	0.124692	0	0.124646	0	
0.124494	0	0	0	0	0	0	0.124517	0	0.124692	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0.124502	0	0	0	0.124692	0	0.124497	0	0	0	0	0	0.124724	0	
0	0.124692	0	0	0	0	0	0	0	0	0	0.124692	0	0	0.12451	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0.124497	0	0.124692	0.124699	0.124511	0	0.124772	0	0	0.124503	
0.124721	0	0	0	0	0	0	0	0	0	0	0	0.124699	0.124692	0.124612	0	0	0	0.124692	0	
0	0	0.12463	0	0.124592	0	0	0	0.124584	0	0	0.12451	0.124511	0.124612	0.124692	0	0	0	0	0	
0	0	0	0	0	0.12455	0	0	0	0	0	0	0	0	0	0.124692	0.124496	0	0.124526	0.124692	
0	0	0	0	0	0	0	0	0.124692	0	0	0	0.124772	0	0	0.124496	0.124692	0	0	0	
0.124648	0	0.124592	0	0	0	0	0.124592	0	0	0	0	0	0	0	0	0	0.124692	0.124692	0	
0	0	0	0	0	0	0	0	0.124646	0	0.124724	0	0	0.124692	0	0.124526	0	0.124692	0.124692	0	
0	0	0	0	0	0.124692	0	0	0	0	0	0	0.124503	0	0	0.124692	0	0	0	0.124692	
